INDEX,UTM_X,UTM_Y
0,248471.7262089988,3688249.714886872
1,248471.6476704008,3688249.584499189
2,248471.5687291377,3688249.452888712
3,248471.4897608753,3688249.320955751
4,248471.4108354039,3688249.188792651
5,248471.3325077515,3688249.05728407
6,248471.2545075599,3688248.926185244
7,248471.1765623284,3688248.795436868
8,248471.0991526869,3688248.665793204
9,248471.0213616391,3688248.535767025
10,248470.9433204386,3688248.404936142
11,248470.8642921645,3688248.271850926
12,248470.7783615899,3688248.124702289
13,248470.6864126303,3688247.957859678
14,248470.5997574643,3688247.789314525
15,248470.5338614213,3688247.657534999
16,248470.4593103844,3688247.533231341
17,248470.3678854179,3688247.380683452
18,248470.276062947,3688247.228633352
19,248470.1833208004,3688247.076143492
20,248470.0899120462,3688246.923622716
21,248469.9960604757,3688246.771369855
22,248469.902151245,3688246.619735766
23,248469.8083725427,3688246.468995267
24,248469.7141700034,3688246.318352582
25,248469.6195764397,3688246.167749449
26,248469.525170349,3688246.018262055
27,248469.430108499,3688245.86838497
28,248469.3352335788,3688245.719633651
29,248469.2396979249,3688245.570435294
30,248469.1437477238,3688245.420665449
31,248469.0477488679,3688245.270884819
32,248468.951807422,3688245.121314811
33,248468.8558497248,3688244.971680504
34,248468.7598820321,3688244.821671178
35,248468.6645107382,3688244.672466063
36,248468.5691279995,3688244.523070768
37,248468.4737137107,3688244.373445612
38,248468.3784686003,3688244.223653425
39,248468.2830047589,3688244.073063443
40,248468.1881994991,3688243.923363852
41,248468.0931717289,3688243.773179682
42,248467.9979447526,3688243.622512221
43,248467.9029885673,3688243.471974689
44,248467.8075802766,3688243.320451057
45,248467.7119524469,3688243.167977979
46,248467.6166514245,3688243.015389769
47,248467.5225218179,3688242.864128255
48,248467.4286897551,3688242.712719042
49,248467.3344073115,3688242.560014097
50,248467.2401909272,3688242.40645755
51,248467.1465299822,3688242.252791361
52,248467.0540247767,3688242.100143878
53,248466.9621718424,3688241.94771738
54,248466.8699682714,3688241.79371615
55,248466.7775495007,3688241.638243567
56,248466.6849946658,3688241.480473631
57,248466.5932632616,3688241.322094619
58,248466.5028265411,3688241.164321539
59,248466.4124630521,3688241.004559317
60,248466.3223834418,3688240.843143206
61,248466.2325182095,3688240.679120277
62,248466.1437650589,3688240.513799098
63,248466.0564524904,3688240.347255263
64,248465.97063665,3688240.17971451
65,248465.8863571649,3688240.0111389
66,248465.8035011269,3688239.840739421
67,248465.7225445802,3688239.669375014
68,248465.6438135281,3688239.497007254
69,248465.567052404,3688239.32325496
70,248465.4926660289,3688239.148140898
71,248465.4205860046,3688238.971838826
72,248465.3508544387,3688238.794658772
73,248465.283821462,3688238.616893566
74,248465.2192772778,3688238.438569536
75,248465.157214418,3688238.258998601
76,248465.0978185332,3688238.079083086
77,248465.0413941793,3688237.900250566
78,248464.9865453763,3688237.7192842
79,248464.9337730299,3688237.535767853
80,248464.8837619722,3688237.351152764
81,248464.8368049525,3688237.166231835
82,248464.7929542862,3688236.981426401
83,248464.7513339646,3688236.795040049
84,248464.7117489305,3688236.604681317
85,248464.6752149404,3688236.412991159
86,248464.6420902746,3688236.221053109
87,248464.6121111499,3688236.029533027
88,248464.5853371334,3688235.838341125
89,248464.5611152999,3688235.644552139
90,248464.5400669835,3688235.449150164
91,248464.5226315966,3688235.255831357
92,248464.5078320284,3688235.066634129
93,248464.4950214581,3688234.877690298
94,248464.4842742729,3688234.689223269
95,248464.475651714,3688234.500733454
96,248464.469120991,3688234.313521081
97,248464.4641018248,3688234.128317577
98,248464.4602968579,3688233.942498757
99,248464.457846059,3688233.755572142
100,248464.456832084,3688233.567611317
101,248464.4572532212,3688233.380859852
102,248464.4591527774,3688233.194624231
103,248464.4624092368,3688233.008083273
104,248464.4671692983,3688232.820896906
105,248464.4733296694,3688232.632977305
106,248464.4809092284,3688232.445567123
107,248464.4898536656,3688232.25881479
108,248464.5000288779,3688232.07217276
109,248464.5115800014,3688231.884337592
110,248464.5244394555,3688231.697762299
111,248464.5383437368,3688231.51230394
112,248464.553219808,3688231.326555877
113,248464.5690772443,3688231.141315366
114,248464.5858640716,3688230.956801547
115,248464.6032715417,3688230.774071657
116,248464.6213197747,3688230.591315783
117,248464.6399952746,3688230.409580899
118,248464.6587672938,3688230.23013917
119,248464.6774822891,3688230.051448501
120,248464.6960204413,3688229.87383792
121,248464.7144440766,3688229.696719973
122,248464.7327621667,3688229.519938052
123,248464.7510743038,3688229.342632229
124,248464.7694594377,3688229.16413238
125,248464.7881016355,3688228.983994276
126,248464.8068394014,3688228.803750591
127,248464.8257748752,3688228.623751676
128,248464.8449858808,3688228.44320449
129,248464.8643205186,3688228.263185581
130,248464.8836398723,3688228.084831817
131,248464.902973742,3688227.907308149
132,248464.9224690588,3688227.728770131
133,248464.941958534,3688227.550749545
134,248464.9614688014,3688227.372801854
135,248464.9808755935,3688227.195536181
136,248465.000229183,3688227.01862406
137,248465.0196249672,3688226.841140031
138,248465.038950266,3688226.664227608
139,248465.0584014412,3688226.48656034
140,248465.0780241104,3688226.309174265
141,248465.0978504847,3688226.131333732
142,248465.1178491795,3688225.95336154
143,248465.1380699535,3688225.774945257
144,248465.1585878952,3688225.596447364
145,248465.1793675501,3688225.41896669
146,248465.2006395863,3688225.241117593
147,248465.2223836248,3688225.063176294
148,248465.2443913684,3688224.886417124
149,248465.2668188198,3688224.709712053
150,248465.289681646,3688224.532855873
151,248465.3131270021,3688224.355272007
152,248465.3371416574,3688224.177156717
153,248465.3614870815,3688224.000100468
154,248465.386130024,3688223.82365594
155,248465.4107585472,3688223.648380711
156,248465.4353202019,3688223.473682934
157,248465.4599905372,3688223.2981963
158,248465.4846610855,3688223.122810186
159,248465.5093679281,3688222.947512011
160,248465.5342708075,3688222.771846346
161,248465.559438952,3688222.595382802
162,248465.5847619181,3688222.419139293
163,248465.6102640837,3688222.24298655
164,248465.635957921,3688222.0665771
165,248465.6618110473,3688221.890334433
166,248465.6879579331,3688221.713759006
167,248465.7144919658,3688221.536223779
168,248465.7414779494,3688221.358428783
169,248465.7688944353,3688221.180313245
170,248465.7965917073,3688221.002588518
171,248465.8246964398,3688220.824076254
172,248465.8531947672,3688220.645579087
173,248465.881958866,3688220.467789693
174,248465.9111008325,3688220.290469974
175,248465.9403893827,3688220.113738819
176,248465.9697805402,3688219.936648705
177,248465.9991991456,3688219.759517218
178,248466.0287062711,3688219.582011996
179,248466.0583654826,3688219.403946313
180,248466.0882012155,3688219.225398537
181,248466.1181649283,3688219.046781093
182,248466.148356067,3688218.868155389
183,248466.1787494948,3688218.690118276
184,248466.2096723655,3688218.511100248
185,248466.2414922652,3688218.329713947
186,248466.2746890581,3688218.147015009
187,248466.3090266,3688217.964563175
188,248466.3447093833,3688217.781939723
189,248466.3818537123,3688217.598889787
190,248466.42035559,3688217.416007265
191,248466.4640108227,3688217.234136925
192,248466.5087261788,3688217.053087074
193,248466.5545551238,3688216.872701846
194,248466.6014900452,3688216.693314563
195,248466.6497160821,3688216.514264052
196,248466.6993694812,3688216.334849352
197,248466.7504594581,3688216.155335519
198,248466.8024786778,3688215.977440745
199,248466.8556582898,3688215.799814482
200,248466.9099589889,3688215.622428894
201,248466.9649354376,3688215.446271654
202,248467.0207105051,3688215.271257087
203,248467.0772096637,3688215.096858894
204,248467.1344623338,3688214.922640561
205,248467.1922368424,3688214.74963828
206,248467.2504998577,3688214.577306201
207,248467.3095496483,3688214.404798587
208,248467.3693971502,3688214.232186753
209,248467.4296049862,3688214.060955011
210,248467.4903825095,3688213.890059536
211,248467.5516634322,3688213.719792271
212,248467.6133760629,3688213.550248598
213,248467.6754062451,3688213.381330232
214,248467.7381428071,3688213.211492813
215,248467.8017754625,3688213.040757593
216,248467.8652610367,3688212.872439201
217,248467.9284284244,3688212.705674542
218,248467.991579346,3688212.539467465
219,248468.0549452596,3688212.373129325
220,248468.1188672283,3688212.206224472
221,248468.1828842104,3688212.040025189
222,248468.247132906,3688211.874132609
223,248468.3116753359,3688211.708007238
224,248468.3766475255,3688211.54129673
225,248468.4411913407,3688211.375510646
226,248468.5056513498,3688211.209683148
227,248468.5701638619,3688211.043617144
228,248468.6343928616,3688210.87834436
229,248468.6987752998,3688210.712640018
230,248468.7628850762,3688210.547233549
231,248468.8266170779,3688210.382445982
232,248468.8905943775,3688210.216570129
233,248468.9543609874,3688210.050818185
234,248469.0174500165,3688209.88568421
235,248469.0803267217,3688209.719283788
236,248469.1428491268,3688209.552428777
237,248469.2053414851,3688209.384446973
238,248469.2679904297,3688209.21516991
239,248469.3302705687,3688209.046797724
240,248469.3926209615,3688208.877892339
241,248469.4550340283,3688208.708492076
242,248469.5173211444,3688208.539260321
243,248469.5797914308,3688208.369455407
244,248469.6426302053,3688208.199081399
245,248469.7054814791,3688208.029204967
246,248469.7681996825,3688207.85987514
247,248469.8310573889,3688207.6900812
248,248469.8941104788,3688207.519758293
249,248469.9575112879,3688207.348784142
250,248470.0207182787,3688207.178698746
251,248470.0833945167,3688207.009462852
252,248470.1457130054,3688206.840542919
253,248470.2076851722,3688206.671841795
254,248470.2695637511,3688206.502751879
255,248470.3312621159,3688206.333448841
256,248470.3936202207,3688206.162470024
257,248470.455844996,3688205.991999113
258,248470.5177431123,3688205.822339276
259,248470.579373904,3688205.652633906
260,248470.6407252733,3688205.482903376
261,248470.701967595,3688205.313082837
262,248470.7629536198,3688205.143665996
263,248470.8235524116,3688204.974774859
264,248470.8836471119,3688204.806080774
265,248470.9437773803,3688204.636824268
266,248471.0039623489,3688204.467569367
267,248471.0641071678,3688204.298563684
268,248471.1239317534,3688204.130643565
269,248471.1831782031,3688203.963851534
270,248471.2423465145,3688203.796040479
271,248471.3012944419,3688203.627670905
272,248471.3597469178,3688203.459809612
273,248471.4180323373,3688203.291330669
274,248471.4759562328,3688203.122738832
275,248471.5332774665,3688202.954199869
276,248471.590152054,3688202.78518514
277,248471.6463310131,3688202.616628927
278,248471.7022336195,3688202.447288648
279,248471.757706171,3688202.277683606
280,248471.8126246791,3688202.107860049
281,248471.8670817415,3688201.937485355
282,248471.9208114458,3688201.76748624
283,248471.9742529466,3688201.5965093
284,248472.026789738,3688201.426578098
285,248472.0788303495,3688201.256085096
286,248472.1299337916,3688201.086696567
287,248472.1800367516,3688200.918584351
288,248472.229751487,3688200.749767474
289,248472.2789535295,3688200.580272088
290,248472.3271170658,3688200.412041008
291,248472.3745965056,3688200.243159009
292,248472.42111264,3688200.075214481
293,248472.4668365807,3688199.907757212
294,248472.511994188,3688199.739673209
295,248472.5565046466,3688199.57203371
296,248472.5999182789,3688199.405269046
297,248472.6424909703,3688199.237877512
298,248472.6843018696,3688199.070562967
299,248472.7251327337,3688198.904408129
300,248472.7650848869,3688198.738645088
301,248472.8039447066,3688198.57337236
302,248472.8413415928,3688198.408499268
303,248472.877589488,3688198.242627776
304,248472.9125656957,3688198.076001716
305,248472.9461336012,3688197.909846504
306,248472.9781812248,3688197.744133695
