x,y,kappa
329931.7856589730,4157670.9132945701,0.03645257835881487
329931.7877713600,4157670.9160200800,0.03645257835881487
329931.7898834080,4157670.9187458600,0.03578549343000684
329931.7919951190,4157670.9214718998,0.03504278684538843
329931.7941064970,4157670.9241981902,0.03530104478776266
329931.7962175450,4157670.9269247400,0.03461638393319229
329931.7983282660,4157670.9296515398,0.03501594477969125
329931.8004386620,4157670.9323785999,0.03312132552492583
329931.8025487380,4157670.9351058900,0.03459314266799598
329931.8046584950,4157670.9378334400,0.0332916800087545
329931.8067679370,4157670.9405612298,0.03255324042092429
329931.8088770680,4157670.9432892501,0.03346175454769976
329931.8109858890,4157670.9460175200,0.03219243869942874
329931.8130944040,4157670.9487460200,0.03265343475808181
329931.8152026140,4157670.9514747602,0.03176956866408643
329931.8173105240,4157670.9542037300,0.03095770321757623
329931.8194181390,4157670.9569329200,0.03139455130288392
329931.8215254600,4157670.9596623401,0.03060067314739163
329931.8236324910,4157670.9623919800,0.03085969110532456
329931.8257392360,4157670.9651218499,0.02970295956007823
329931.8278456970,4157670.9678519298,0.0301557084139392
329931.8299518750,4157670.9705822300,0.0293039020720808
329931.8320577750,4157670.9733127402,0.02900870245440128
329931.8341634010,4157670.9760434600,0.02878903518826598
329931.8362687570,4157670.9787743902,0.02861322211064182
329931.8383738450,4157670.9815055300,0.02772794315282961
329931.8404786710,4157670.9842368700,0.02793738410073202
329931.8425832320,4157670.9869684102,0.02691079216223765
329931.8446875350,4157670.9897001400,0.02766430487598752
329931.8467915850,4157670.9924320802,0.02594364332534846
329931.8488953840,4157670.9951642002,0.02614360464227153
329931.8509989370,4157670.9978965102,0.02620566387751375
329931.8531022430,4157671.0006290101,0.02574011363145866
329931.8552053090,4157671.0033617001,0.0245152675170627
329931.8573081380,4157671.0060945600,0.0252046803135195
329931.8594107350,4157671.0088276099,0.02411962196959972
329931.8615131010,4157671.0115608298,0.02400004188891329
329931.8636152380,4157671.0142942201,0.02335862143455054
329931.8657171550,4157671.0170277799,0.02327051484649078
329931.8678188540,4157671.0197615102,0.02315675507703888
329931.8699203360,4157671.0224954099,0.02191048106009903
329931.8720216050,4157671.0252294601,0.02238493354682827
329931.8741226690,4157671.0279636802,0.02119520254630941
329931.8762235300,4157671.0306980498,0.02137500634875932
329931.8783241860,4157671.0334325698,0.02055923622138771
329931.8804246490,4157671.0361672398,0.02044329019654578
329931.8825249210,4157671.0389020601,0.01982867312088734
329931.8846250030,4157671.0416370202,0.01942880310950524
329931.8867249010,4157671.0443721199,0.0189866810553943
329931.8888246220,4157671.0471073599,0.0186839501979733
329931.8909241630,4157671.0498427302,0.01790235911147568
329931.8930235350,4157671.0525782299,0.01723135856175926
329931.8951227410,4157671.0553138498,0.01824874622685099
329931.8972217810,4157671.0580496099,0.01603888649578275
329931.8993206650,4157671.0607854798,0.01598902859608129
329931.9014193940,4157671.0635214602,0.01657008665586834
329931.9035179740,4157671.0662575699,0.01416791161135212
329931.9056164110,4157671.0689937701,0.01566943818091805
329931.9077147050,4157671.0717300898,0.01402025149045008
329931.9098128660,4157671.0744665102,0.01345617033605375
329931.9119108940,4157671.0772030200,0.01385244267321545
329931.9140087990,4157671.0799396401,0.01222157402935035
329931.9161065820,4157671.0826763399,0.01179531067839577
329931.9182042500,4157671.0854131202,0.01244182099765288
329931.9203018080,4157671.0881500002,0.01005889258006425
329931.9223992610,4157671.0908869398,0.01131694343522008
329931.9244966140,4157671.0936239702,0.009262412675303085
329931.9265938740,4157671.0963610602,0.009580535209234848
329931.9286910440,4157671.0990982200,0.00854408053038978
329931.9307881320,4157671.1018354399,0.00834978728952211
329931.9328851410,4157671.1045727199,0.007177332940258353
329931.9349820810,4157671.1073100502,0.006997579787904179
329931.9370789540,4157671.1100474298,0.006470528202834476
329931.9391757690,4157671.1127848602,0.005036935825260309
329931.9412725310,4157671.1155223199,0.004688178749382092
329931.9433692460,4157671.1182598099,0.004147966839686748
329931.9454659220,4157671.1209973302,0.003773867015194999
329931.9475625640,4157671.1237348798,0.002281112794311979
329931.9496591800,4157671.1264724401,0.002337131284982413
329931.9517557760,4157671.1292100199,0.0007345714360932991
329931.9538523610,4157671.1319475998,0.0004241364972096174
329931.9559489400,4157671.1346851801,-0.0002220314540533558
329931.9580455220,4157671.1374227600,-0.001238529323992655
329931.9601421150,4157671.1401603301,-0.001720962856497636
329931.9622387260,4157671.1428978899,-0.00369925978555287
329931.9643353620,4157671.1456354102,-0.00344582616394198
329931.9664320340,4157671.1483729100,-0.004400138013923671
329931.9685287490,4157671.1511103800,-0.006018807254277459
329931.9706255160,4157671.1538478001,-0.006575098192783212
329931.9727223430,4157671.1565851700,-0.007289696862546343
329931.9748192410,4157671.1593224900,-0.008916205293400795
329931.9769162190,4157671.1620597402,-0.009538537450702902
329931.9790132860,4157671.1647969200,-0.01077323215472619
329931.9811104530,4157671.1675340198,-0.01184811795448459
329931.9832077290,4157671.1702710302,-0.01270016203630819
329931.9853051260,4157671.1730079502,-0.01445898370738044
329931.9874026550,4157671.1757447599,-0.0151418854612402
329931.9895003270,4157671.1784814601,-0.0170223014109671
329931.9915981540,4157671.1812180299,-0.01720084643377668
329931.9936961470,4157671.1839544801,-0.01977988934526584
329931.9957943210,4157671.1866907799,-0.02039665835136421
329931.9978926860,4157671.1894269302,-0.02204090920454628
329931.9999912580,4157671.1921629198,-0.02328627695907259
329932.0020900490,4157671.1948987399,-0.02527918898122801
329932.0041890730,4157671.1976343701,-0.02647555905595823
329932.0062883480,4157671.2003698102,-0.02846076152652732
329932.0083878880,4157671.2031050399,-0.02993201709188502
329932.0104877080,4157671.2058400498,-0.03203733216280631
329932.0125878240,4157671.2085748198,-0.03329162849792794
329932.0146882550,4157671.2113093501,-0.03568864691205152
329932.0167890210,4157671.2140436200,-0.03710989130264826
