INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
0,250297.35679999995,3688260.1149999998,0.016442541079093487,250298.71679999997,3688258.635999999,0.0044808954578913615
1,250297.63475912673,3688260.40393943,0.02874189466514675,250298.99376385435,3688258.9260115055,0.0052108345784958356
2,250297.91284566117,3688260.6927566533,0.006534569171238699,250299.2707792004,3688259.2159735034,0.002177370386458624
3,250298.18847149884,3688260.983903271,0.04117517802949807,250299.54712696455,3688259.506571023,0.03690416243166573
4,250298.45577369817,3688261.282715721,0.2419146079442282,250299.81751237504,3688259.8026970425,0.04556882457283372
5,250298.7264627123,3688261.5784686697,0.5143602211895396,250300.0855125371,3688260.100988517,0.012531453896352872
6,250298.99840532127,3688261.8727398193,0.003317002422019635,250300.36250639043,3688260.3909745747,0.44291561785143196
7,250299.25368833827,3688262.1818897286,0.05842246856736194,250300.6214427163,3688260.697061871,0.0161053477305979
8,250299.5125622209,3688262.4880271205,0.3884109647046764,250300.87724878459,3688261.005879219,0.02749122745529548
9,250299.78394066737,3688262.7831362598,0.03252701318423507,250301.14399161734,3688261.305192979,0.17387979440253407
10,250300.05229765104,3688263.0810029157,0.3855707809217012,250301.41269604402,3688261.6028557345,0.01680316379052109
11,250300.3069092939,3688263.39072053,0.06215725802410322,250301.67496508794,3688261.9061318836,0.011349658194793394
12,250300.5562211988,3688263.704684092,0.03634704582500267,250301.92978201486,3688262.2157884906,0.10970192888261204
13,250300.80488786395,3688264.019175886,0.1339748904337672,250302.17747901552,3688262.531157287,0.002286308442496976
14,250301.0611121422,3688264.3275553943,0.015397253106941183,250302.42869623154,3688262.843697548,0.0054900941675062685
15,250301.3228941825,3688264.6311904327,0.07141567293098831,250302.68523256877,3688263.1519331825,0.1745197800628378
16,250301.5887377429,3688264.9312962503,0.3999989184885757,250302.9501579849,3688263.4529716177,0.12491766900189191
17,250301.85112969132,3688265.2342689265,0.01713443012156879,250303.21139043593,3688263.757131704,0.38267615749994327
18,250302.12373198176,3688265.52824002,0.2741026031126415,250303.48393370718,3688264.051223191,0.1278216209181638
19,250302.38555961422,3688265.831885661,0.06763854047395601,250303.74899120093,3688264.3520960757,0.028913318851501838
20,250302.63535203328,3688266.1450635768,1.0089778692184912,250304.01313296426,3688264.65389557,0.8140785859889706
21,250302.89918828226,3688266.4468414537,0.3631288360741997,250304.2657748235,3688264.9645352955,0.5068272711545986
22,250303.1562101881,3688266.754473146,0.3001078949016726,250304.52610579296,3688265.2695381674,0.3523729996576768
23,250303.41044479673,3688267.0644322233,0.19214609371992647,250304.78188963074,3688265.578340052,0.24560883667111255
24,250303.66807523818,3688267.371628675,0.12148070799646264,250305.03437965564,3688265.8898786637,0.05841268472308451
25,250303.92267457335,3688267.6812172793,0.08146610243350283,250305.29501676868,3688266.194637417,0.24507364947291263
26,250304.18108063095,3688267.987598144,0.2422510681377101,250305.54397505257,3688266.5089992257,0.41246297005548654
27,250304.45093954806,3688268.2840189193,0.14833217907501645,250305.8142975972,3688266.8050958836,0.2877696887666803
